board,theme,overpair,topHit,commonThreats,attentionTurnsPolicy
A72r,AハイでPFR側が強いAを多く持ちやすい。ドローが少ないほどトップペアの価値が高い。,存在しない。Aがボード最高カードなので、ボードより上のポケットペアは作れない。,Aヒットは強いが、キッカー差が重要。AK/AQはかなり強く、弱いAは慎重。,セット、A7/A2系のツーペア、強いAキッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
K72r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
Q83r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
J74r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
T62r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
AJ5r,AハイでPFR側が強いAを多く持ちやすい。ドローが少ないほどトップペアの価値が高い。,存在しない。Aがボード最高カードなので、ボードより上のポケットペアは作れない。,Aヒットは強いが、キッカー差が重要。AK/AQはかなり強く、弱いAは慎重。,セット、A7/A2系のツーペア、強いAキッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
KJ4r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
QT4r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
T84r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
976r,ドライ寄りでPFRが主導権を取りやすい。ワンペアの価値が比較的高い。,かなり強い。相手のトップヒットにも勝ちやすく、バリュー候補。,トップヒットは十分強い。キッカーが強いほど複数ストリートで価値を取りやすい。,セット、ツーペア、強キッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
JT9ss,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
T98ss,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
987ss,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
876ss,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
765ss,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
653r,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
542r,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
432r,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
754r,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
864r,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
KK4r,ペアボードは強い役の組み合わせが少なく、小さめベットが機能しやすい。,かなり強いが、トリップスやフルハウスには注意。,ボードペア絡みではキッカーが重要。大きなポットでは慎重に。,トリップス、フルハウス、強いポケットペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
QQ2r,ペアボードは強い役の組み合わせが少なく、小さめベットが機能しやすい。,かなり強いが、トリップスやフルハウスには注意。,ボードペア絡みではキッカーが重要。大きなポットでは慎重に。,トリップス、フルハウス、強いポケットペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
772r,ペアボードは強い役の組み合わせが少なく、小さめベットが機能しやすい。,かなり強いが、トリップスやフルハウスには注意。,ボードペア絡みではキッカーが重要。大きなポットでは慎重に。,トリップス、フルハウス、強いポケットペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
TT5r,ペアボードは強い役の組み合わせが少なく、小さめベットが機能しやすい。,かなり強いが、トリップスやフルハウスには注意。,ボードペア絡みではキッカーが重要。大きなポットでは慎重に。,トリップス、フルハウス、強いポケットペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
993r,ペアボードは強い役の組み合わせが少なく、小さめベットが機能しやすい。,かなり強いが、トリップスやフルハウスには注意。,ボードペア絡みではキッカーが重要。大きなポットでは慎重に。,トリップス、フルハウス、強いポケットペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
A72m,AハイでPFR側が強いAを多く持ちやすい。ドローが少ないほどトップペアの価値が高い。,存在しない。Aがボード最高カードなので、ボードより上のポケットペアは作れない。,Aヒットは強いが、キッカー差が重要。AK/AQはかなり強く、弱いAは慎重。,セット、A7/A2系のツーペア、強いAキッカー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
K83m,すでにフラッシュが存在する特殊ボード。スートを持っているかが重要。,スートなしのオーバーペアは見た目より弱い。高い同スートカードがあると価値が上がる。,トップヒットでもフラッシュに負ける可能性がある。スートの有無を必ず確認。,完成フラッシュ、1枚高スート、セット、ツーペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
Q74m,すでにフラッシュが存在する特殊ボード。スートを持っているかが重要。,スートなしのオーバーペアは見た目より弱い。高い同スートカードがあると価値が上がる。,トップヒットでもフラッシュに負ける可能性がある。スートの有無を必ず確認。,完成フラッシュ、1枚高スート、セット、ツーペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
T86m,すでにフラッシュが存在する特殊ボード。スートを持っているかが重要。,スートなしのオーバーペアは見た目より弱い。高い同スートカードがあると価値が上がる。,トップヒットでもフラッシュに負ける可能性がある。スートの有無を必ず確認。,完成フラッシュ、1枚高スート、セット、ツーペア。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
987m,連結性が高く、Caller側のセット・ツーペア・ストレート・強ドローが増える。,強いが安心はできない。ワンペアなので、ドロー完成やツーペアに注意。,トップヒットでも不安定。ターン以降のカードで価値が大きく変わる。,セット、ツーペア、ストレート、フラッシュドロー、コンボドロー。,オーバーカード、ストレート完成カード、同スート完成カードをボードごとに具体化する。
